parameter,mean,std,q025,median,q975
lnV0,2.3055758,1.2105112,0.1283209525048733,2.3508778,4.521123015880584
beta,10.469026,5.208359,1.1286006838083267,10.770288,18.847671604156492
phi,6.007301,3.1744487,0.9255497962236404,6.022227,12.664216876029963
rho,0.43519756,0.2281842,0.041605913639068605,0.42930996,0.8959386110305785
delta,4.6623745,2.3716707,1.2333884835243225,4.2823954,9.531942486763
pi,391.74374,92.62143,219.4016513824463,382.6367,570.241667175293
