parameter,mean,std,q025,median,q975
lnV0,3.7637787,1.0233612,1.175546583533287,4.032483,4.955723142623901
beta,14.227549,3.4753392,7.1289299607276915,14.497385,19.685776901245116
phi,6.151266,4.1346045,0.4531115509569645,5.4344277,14.402462601661677
rho,0.038571242,0.06265783,0.006241421808954328,0.028555093,0.10812661089003066
delta,4.9352474,2.5493479,1.3991895377635957,4.3304806,10.388810300827027
pi,440.43613,100.79911,239.9506462097168,449.46542,590.2672546386718
