time,mean,median,std,q025,q25,q75,q975
0,2.436516827118443,2.424028915461535,0.596220908114766,1.370507453722249,2.0630484415174495,2.813486953070601,3.4339734458834568
1,1.2174277146150099,1.4392608977506032,1.1887335678398552,-0.65,0.43309843995574215,2.0934034969490347,2.991795607964615
2,-0.07232075659047903,-0.65,1.056725407423372,-0.65,-0.65,0.0752574989159953,2.319537541685962
3,-0.46468419354077994,-0.65,0.6805596014906377,-0.65,-0.65,-0.65,1.7169031533868857
4,-0.5262840286357009,-0.65,0.5406736440495512,-0.65,-0.65,-0.65,1.4009541372033827
5,-0.6067206006799885,-0.65,0.348147499348126,-0.65,-0.65,-0.65,-0.65
6,-0.6205223227380832,-0.65,0.29329918550690787,-0.65,-0.65,-0.65,-0.65
7,-0.6227292788414853,-0.65,0.27134024953559854,-0.65,-0.65,-0.65,-0.65
8,-0.6247493873660831,-0.65,0.25124042349993125,-0.65,-0.65,-0.65,-0.65
9,-0.6298827216398242,-0.65,0.20016439237151915,-0.65,-0.65,-0.65,-0.65
10,-0.6500000000000001,-0.65,1.1102230246251565e-16,-0.65,-0.65,-0.65,-0.65
11,-0.6500000000000001,-0.65,1.1102230246251565e-16,-0.65,-0.65,-0.65,-0.65
12,-0.6500000000000001,-0.65,1.1102230246251565e-16,-0.65,-0.65,-0.65,-0.65
13,-0.6500000000000001,-0.65,1.1102230246251565e-16,-0.65,-0.65,-0.65,-0.65
14,-0.6500000000000001,-0.65,1.1102230246251565e-16,-0.65,-0.65,-0.65,-0.65
