time,median,q025,q25,q75,q975
0.0,1.0791812460476249,0.0,0.47712125471966244,1.6434526764861874,2.1271047983648077
1.0,3.5287372058697866,1.7732203517397287,2.8703580712730603,4.163259345847596,5.591160494295472
2.0,6.486971939703794,5.2511668888715315,6.089475687188325,6.933030214074752,8.005399830523768
3.0,7.27717986036833,5.944246005562299,6.618213227425103,8.016324811014503,9.029952355557162
4.0,6.667468072138804,5.152620730377025,6.066497154140427,7.320908206634592,8.457662078838434
5.0,6.045860952269715,4.501696785906003,5.465267846753983,6.777672535241777,8.090802686382474
6.0,5.346213354949354,3.7837209988803426,4.7045504030898675,5.944995283433483,7.133380985106899
7.0,5.118208430445214,3.554498850451545,4.533405044709012,5.783088004333471,7.05634556561626
8.0,4.644386952070147,3.1366596122125414,4.058827813565803,5.261917353373381,6.325870398519957
9.0,4.47707500743836,2.952066811380917,3.9256652035560387,5.090177772563793,6.161664873622366
10.0,4.858760236424308,3.158056269023179,4.198740842563268,5.5227877438586805,6.39256632756859
11.0,2.9291762184791343,-0.34124999999999994,2.4308772759479353,3.493010484681599,4.5468932778369995
12.0,2.1644662398945256,-0.65,1.6409566212595372,2.6953946347340585,3.705412602072797
13.0,2.248410573043746,1.0956932465207505,1.8044701178513107,2.7989832288442056,3.7939266216498844
14.0,2.4910739448070243,1.1139433523068367,2.005586234924343,2.991657296544106,3.928792367827539
