time,median,q025,q25,q75,q975
0.0,1.0,0.0,0.47712125471966244,1.6334684555795866,2.041392685158225
1.0,3.4402498339058774,2.6560820249820716,3.4402498339058774,5.516084746446595,5.516084746446595
2.0,6.7964472304585,6.392156061834059,6.578903122409223,6.7964472304585,7.97384036939895
3.0,7.0518780132602945,6.566091116573285,7.023115671714056,7.0518780132602945,8.794416845256707
4.0,5.925767027944633,5.925767027944633,5.925767027944633,6.397770423642403,8.120532138230232
5.0,4.942921391842335,4.684229690147425,4.684229690147425,5.412561630161263,7.459358014609209
6.0,3.8583039059835436,3.729913385137425,3.729913385137425,4.459146989571498,4.459146989571498
7.0,3.54250785027303,2.578353408030174,2.829554223770398,3.54250785027303,3.54250785027303
8.0,2.4198521351879587,1.2787536009528289,2.2920943885973104,2.6275589698827067,2.674232606980243
9.0,0.0,-0.65,0.0,0.0,1.8195439355418688
10.0,0.8450980400142568,-0.65,0.3010299956639812,1.462397997898956,1.462397997898956
11.0,-0.65,-0.65,-0.65,-0.65,0.3010299956639812
12.0,-0.65,-0.65,-0.65,-0.65,-0.65
13.0,-0.65,-0.65,-0.65,-0.65,-0.65
14.0,-0.65,-0.65,-0.65,-0.65,-0.65
