parameter,mean,std,q025,median,q975
lnV0,3.60982,1.090157,1.0264520943164825,3.8424113,4.923036992549896
beta,16.742018,2.8092396,10.053301072120666,17.499596,19.888584232330324
phi,7.0633163,3.976014,0.7295025721192361,6.6703186,14.111916613578796
rho,0.28052074,0.25205538,0.021282029198482634,0.1873402,0.921574792265892
delta,4.3741646,2.3959134,1.1998642951250076,4.059374,9.537359595298765
pi,493.6769,90.58337,269.2082122802734,521.73486,596.0395065307617
