parameter,mean,std,q025,median,q975
lnV0,3.5665524,1.0512993,0.9724584370851518,3.7999635,4.915387213230133
beta,14.273789,3.5711143,7.241973376274109,14.492455,19.750637865066526
phi,9.677456,3.6161838,2.1967112541198732,10.449934,14.548101234436034
rho,0.046051703,0.07893089,0.0054103455040603885,0.032100942,0.2088375754654407
delta,6.123379,2.5309503,1.7278171837329865,6.0377636,10.550539994239806
pi,413.94937,112.30427,223.85930786132812,416.71637,587.7725921630858
