parameter,mean,std,q025,median,q975
lnV0,3.5593147,1.1133841,0.8670092269778251,3.8361864,4.95484629869461
beta,11.890665,3.7766964,4.827854740619659,11.830266,18.938828277587884
phi,3.4482455,3.5703833,0.11735191531479358,2.0625942,13.252220153808592
rho,0.021383928,0.037819147,0.0026557554490864274,0.01710119,0.049545067176222785
delta,5.0753117,2.5923421,1.5230567514896394,4.6037607,10.422182130813594
pi,436.86417,103.685425,236.45737686157227,442.97552,592.4097366333008
