parameter,mean,std,q025,median,q975
lnV0,3.3797128,1.1932918,0.599757905304432,3.621176,4.911441278457642
beta,14.528521,3.477476,6.937456905841827,15.038628,19.640058517456055
phi,8.292149,4.160632,0.8359884887933732,8.663998,14.399830579757689
rho,0.06375127,0.12144022,0.007303712540306152,0.03715371,0.41210562065243705
delta,5.6984262,2.5917463,1.487060907483101,5.3878937,10.489605712890624
pi,424.7889,111.27415,220.7574577331543,431.26755,588.0173614501953
