parameter,mean,std,q025,median,q975
lnV0,2.2542434,1.1785864,0.12223179116845131,2.2460344,4.413263344764709
beta,10.330474,5.1744905,0.9060032337903978,10.609499,18.7623592376709
phi,5.895744,3.1365893,0.9170636624097824,5.854492,12.625907397270202
rho,0.45119306,0.22905068,0.041698486730456355,0.44777536,0.8960551872849465
delta,4.599559,2.3584619,1.1803218126296997,4.2871056,9.404243302345272
pi,397.17844,91.547714,222.33727912902833,389.71765,572.6105606079102
