parameter,mean,std,q025,median,q975
lnV0,3.823425,1.0359199,1.054026371240616,4.0995045,4.973756206035614
beta,13.813837,3.6281812,6.79907455444336,13.904844,19.668178606033326
phi,3.2497103,3.6381578,0.08709625210613012,1.7016149,13.334580731391906
rho,0.092974916,0.15491435,0.004429729387629777,0.03760139,0.6577775791287416
delta,4.0938582,2.5145628,1.1458076655864715,3.4357252,10.12876200675964
pi,456.88428,95.39768,250.91453971862794,466.0097,592.4900085449218
