parameter,mean,std,q025,median,q975
lnV0,3.3486578,1.0559903,0.9708870947360992,3.5455873,4.918668401241302
beta,14.264335,3.563709,6.832695508003235,14.549109,19.57244610786438
phi,7.9162593,4.0634975,0.9312157258391381,7.9267173,14.483035898208618
rho,0.45344394,0.26486483,0.05336069222539663,0.43526283,0.9595900014042854
delta,5.1828523,2.7445488,1.2169242560863496,4.738306,10.420633721351624
pi,428.66846,108.53348,224.94946937561036,437.45166,592.2231338500976
