parameter,mean,std,q025,median,q975
lnV0,4.2564826,1.4196236,1.206192621588707,4.440015,6.329106163978577
beta,22.470633,5.393624,10.515496420860291,23.328249,29.652456426620482
phi,12.077734,6.698578,0.8979894474148753,11.712967,23.59130191802978
rho,0.5919996,0.39955106,0.057388237211853266,0.50563323,1.4182801991701126
delta,6.798538,3.6986873,1.390864446759224,6.311492,14.100746631622314
pi,556.6525,134.32697,274.0693077087402,578.4477,742.2560852050781
