parameter,mean,std,q025,median,q975
lnV0,3.6499567,1.0777352,1.135606834292412,3.8865473,4.935867643356323
beta,16.370195,2.7905676,9.673026704788208,16.919662,19.86569833755493
phi,7.664361,3.9755602,0.7206674471497537,7.6969323,14.38955295085907
rho,0.29688036,0.25541174,0.024775515170767905,0.20684302,0.9173989459872245
delta,4.0354867,2.3602104,1.1158494234085083,3.5426812,9.822021603584288
pi,467.37823,90.27304,268.0970848083496,482.4513,593.5667510986328
