parameter,mean,std,q025,median,q975
lnV0,3.115052,1.1075592,0.601894511282444,3.0975313,4.884379124641418
beta,11.029161,4.577294,1.333588534593582,11.606031,19.021652793884275
phi,7.687321,4.157484,0.8923179700970649,7.63329,14.391745948791504
rho,0.5655659,0.25484663,0.08765789372846484,0.57795787,0.9546010419726372
delta,5.5942802,2.6016016,1.2549503654241563,5.297865,10.06833128929138
pi,398.45544,99.19059,209.10272293090821,402.8097,563.5739212036133
