parameter,mean,std,q025,median,q975
lnV0,3.8533816,0.990373,1.2258407771587374,4.1064777,4.952654385566711
beta,16.085651,2.931125,9.25587329864502,16.568972,19.860031127929688
phi,9.029654,3.9056666,1.4712225675582888,9.421822,14.59249849319458
rho,0.112615146,0.13419664,0.012756953737698496,0.07664418,0.5533935531973838
delta,5.1566253,2.6448624,1.2307117700576782,4.7014112,10.431665277481079
pi,477.3031,95.802734,273.95926971435546,501.39673,593.9159927368164
