parameter,mean,std,q025,median,q975
lnV0,3.738029,1.0442274,1.1264631986618043,3.9431214,4.9461368203163145
beta,15.698061,2.91933,8.943812894821168,16.09967,19.701615905761717
phi,9.242881,3.567054,2.085886389017105,9.86944,14.290912175178528
rho,0.04956996,0.085487135,0.005734851863235235,0.03469948,0.20978843122720678
delta,5.5475707,2.679695,1.5088374257087707,5.272235,10.433808159828185
pi,445.9913,106.066826,230.86444053649902,456.19077,589.1707412719727
