parameter,mean,std,q025,median,q975
lnV0,4.3091483,1.4535506,0.9857511863112449,4.5810556,6.34937139749527
beta,21.959352,5.627592,10.12088189125061,22.844421,29.52006607055664
phi,11.653314,6.7863584,1.4274002224206925,10.982434,24.030156803131103
rho,0.78626204,0.39999244,0.09492472242563964,0.8352732,1.4218307256698608
delta,7.6752963,3.885102,1.9528767704963683,7.1213045,14.40393407344818
pi,547.74756,129.21997,277.25777740478514,558.2792,738.6396347045899
