parameter,mean,std,q025,median,q975
lnV0,3.8312418,1.0207987,1.1133623898029328,4.0836353,4.961449921131134
beta,16.27938,2.8702452,8.965562438964843,16.899261,19.70793013572693
phi,9.091213,3.8757536,1.3976791292428972,9.522271,14.447893452644347
rho,0.12147931,0.15516548,0.01702562430873513,0.0702572,0.6873134136199947
delta,5.497593,2.7083154,1.2763545244932175,5.1709576,10.395507740974427
pi,473.49805,97.62939,250.4159008026123,491.4882,594.6691955566406
