parameter,mean,std,q025,median,q975
lnV0,2.3360555,1.2052631,0.13285595886409285,2.4080186,4.538841259479522
beta,10.132082,5.188496,0.8744440242648125,10.249571,18.64800262451172
phi,6.119081,3.1383224,1.0847366064786912,6.0762796,12.768663811683652
rho,0.44642833,0.22497645,0.047136192023754124,0.44310158,0.8953796267509457
delta,4.674063,2.3420482,1.2632421135902405,4.394122,9.467734813690184
pi,398.60327,93.01081,223.7339599609375,389.27606,570.5516967773438
