parameter,mean,std,q025,median,q975
lnV0,3.5172117,1.1373019,0.8657954931259156,3.812247,4.937604331970215
beta,14.521815,3.1557956,7.684643805027008,14.633421,19.592763900756836
phi,8.07016,4.0627966,0.8831558719277381,8.166931,14.484394478797912
rho,0.042242657,0.0760151,0.0031059166532941165,0.02965546,0.1794737420976157
delta,5.644953,2.6709213,1.532271257042885,5.33478,10.606450724601746
pi,390.30716,109.219986,209.7583065032959,383.60504,578.9833206176758
