parameter,mean,std,q025,median,q975
lnV0,3.9003134,0.98864913,1.310177716612816,4.168697,4.959682989120483
beta,16.684761,2.7826483,9.748613595962524,17.293526,19.89278964996338
phi,8.93909,3.9703488,1.1826960146427157,9.398808,14.548175692558289
rho,0.16171338,0.20856795,0.009545641113072633,0.07794596,0.8253601402044295
delta,4.998228,2.5853333,1.1960852682590484,4.77731,10.14402642250061
pi,449.07864,106.42869,226.71133003234863,466.0412,593.0673965454101
