parameter,mean,std,q025,median,q975
lnV0,3.4361153,1.075869,0.9649320766329766,3.6338818,4.915959203243256
beta,14.878977,3.488882,7.072361397743225,15.398795,19.734609413146973
phi,8.563359,3.822365,1.2991126149892809,8.889116,14.557465243339538
rho,0.4774148,0.26194188,0.06465820483863353,0.45389473,0.963319844007492
delta,5.2209096,2.5859969,1.2988579005002976,4.913102,10.41049919128418
pi,435.9327,99.26982,241.25047149658204,444.50647,589.1050659179688
