parameter,mean,std,q025,median,q975
lnV0,3.6197243,1.0353086,1.0174894779920578,3.8252506,4.9364024043083194
beta,15.2425,3.324026,7.726240110397339,15.772814,19.797926473617554
phi,9.749542,3.6794415,1.8964055091142655,10.535463,14.586270189285278
rho,0.0777717,0.15113741,0.004817363456822932,0.030833103,0.6446644842624663
delta,6.179958,2.639215,1.5613219797611237,6.2408743,10.56148419380188
pi,386.05017,111.00015,210.85308837890625,376.76532,583.714321899414
