time,median,q025,q25,q75,q975
0.0,1.0791812460476249,0.0,0.47712125471966244,1.6434526764861874,2.1271047983648077
1.0,3.848168219461843,2.13550575490152,3.2343373680306726,4.594722272978135,5.79860216012947
2.0,6.569511925205745,5.293946995823344,6.164009288406996,6.992168109142208,7.941642562245356
3.0,7.706297919334745,6.051074698619464,6.894005017664034,8.347747649788305,9.208279624314372
4.0,6.757250180104385,5.18469889697442,6.092968025894893,7.365695306993423,8.44403151005114
5.0,5.7179913062308865,4.274872922928619,5.081093123108581,6.379384971986413,7.490964280049051
6.0,4.7185974259495715,3.323720729490766,4.1872509064370185,5.3102146026204124,6.430614020206675
7.0,3.851757407755333,2.47512504123824,3.3666921340704885,4.405475803894802,5.313210989472927
8.0,2.9998589251835948,1.5306521395022719,2.514140225908807,3.5325195026050973,4.454443449539478
9.0,0.3010299956639812,-0.65,-0.65,1.3063273204314658,2.5050353183436473
10.0,1.568201724066995,-0.65,0.6989700043360189,1.9637878273455553,2.600616424505427
11.0,0.9030899869919435,-0.65,-0.65,1.6901960800285136,2.5877781778757827
12.0,-0.65,-0.65,-0.65,-0.65,1.5437057232601907
13.0,-0.65,-0.65,-0.65,-0.65,0.6989700043360189
14.0,-0.65,-0.65,-0.65,-0.65,0.3010299956639812
