parameter,mean,std,q025,median,q975
lnV0,3.699433,1.0512606,1.0108260691165925,3.9397564,4.93067079782486
beta,14.553561,3.5227883,7.0179321527481076,15.020731,19.55031704902649
phi,9.509517,3.500108,2.3849709272384647,9.806965,14.80815269947052
rho,0.17361878,0.22923484,0.001494806428672746,0.0389148,0.8376333117485045
delta,6.49793,2.4153032,1.7983361721038817,6.481181,10.745847487449645
pi,403.298,113.59685,208.4167850494385,402.6571,584.0771347045899
