parameter,mean,std,q025,median,q975
lnV0,3.7051477,1.0410944,1.0217694520950318,3.9385612,4.944090282917022
beta,16.711554,2.64524,10.07896809577942,17.360249,19.769555616378785
phi,8.143391,3.9565609,1.1077989906072616,8.20252,14.402207803726196
rho,0.27372992,0.24696189,0.029042617976665498,0.1837475,0.9149082571268081
delta,4.891888,2.6506503,1.1819519251585007,4.5247803,10.284017157554626
pi,487.6813,91.56217,269.6500663757324,509.6244,595.6913909912109
