time,median,q025,q25,q75,q975
0.0,1.0791812460476249,0.0,0.47712125471966244,1.6434526764861874,2.1271047983648077
1.0,3.8571381886364575,2.15675816496743,3.2611548987216787,4.566336504947992,5.837110834284524
2.0,6.561707015663297,5.265636057459499,6.139623608422501,6.9592727213791665,7.924126098649043
3.0,7.657734252435473,6.099404631527712,6.870603275503944,8.307771745522373,9.156686044784266
4.0,6.727014922160816,5.119325738253386,6.146388750587135,7.3114238553130075,8.403520578152309
5.0,5.619658430579278,4.299800358081595,5.110158705626306,6.296728916335632,7.426467037492971
6.0,4.629594383019075,3.3430865784933284,4.165064878792895,5.289620652005922,6.3829391488733185
7.0,3.822582553982226,2.4735569796748607,3.3350134651836028,4.370996658379711,5.479856115432357
8.0,2.992872454194309,1.5641831368768706,2.4366158341155186,3.4620896204014255,4.468141326072511
9.0,0.47712125471966244,-0.65,-0.65,1.2954608969861932,2.491030003103735
10.0,1.5680430486920487,-0.65,0.3450528104279015,1.9137153421046658,2.562034420999205
11.0,0.9542425094393249,-0.65,-0.65,1.6789553925156198,2.435566011257352
12.0,-0.65,-0.65,-0.65,-0.65,1.710196709323385
13.0,-0.65,-0.65,-0.65,-0.65,0.812219231986653
14.0,-0.65,-0.65,-0.65,-0.65,0.4375007214321339
