parameter,mean,std,q025,median,q975
lnV0,3.7789052,1.0454797,1.0108404338359833,4.03129,4.954506993293762
beta,15.879758,3.0297058,8.487065100669861,16.544289,19.75446367263794
phi,8.836739,3.8502395,1.369576454162598,8.940716,14.707962393760681
rho,0.29294372,0.2751082,0.006620869867037982,0.2246334,0.9382103383541107
delta,5.578422,2.513536,1.4011511147022246,5.4273577,10.48423111438751
pi,450.978,106.85446,233.28512802124024,463.25824,591.0473205566406
