parameter,mean,std,q025,median,q975
lnV0,3.7938704,1.0451504,1.0756148636341094,4.056904,4.967545664310455
beta,15.470297,3.2061064,8.398773169517517,15.960096,19.80591106414795
phi,5.5033073,4.287557,0.22123375162482262,4.453103,14.352872562408447
rho,0.29367697,0.26238957,0.013150354102253913,0.21199743,0.9135416269302367
delta,4.1683173,2.50585,1.12060903608799,3.4988399,10.060522818565369
pi,483.7726,84.66525,295.1078910827637,502.0548,593.7661254882812
